"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\OnboardingScreen.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\PickLocationScreen.test.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 9, 21, 131
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\RideCompleteScreen.test.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 10, 65
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\RideDetailScreen.test.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 7, 10, 111
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\RideMapViewScreen.test.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\RideRequestScreen.test.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 18, 17, 154
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\StartRideScreen.test.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 11, 15, 96
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Main\HomeScreen.test.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 12, 19, 143
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Main\RidesScreen.test.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 10, 14, 107
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Main\Settings.test.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 17, 21, 157
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Main\WalletScreen.test.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 6, 10, 48
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Profile\CustomerSupportScreen.test.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Profile\EditProfileScreen.test.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 4, 12, 110
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Profile\FaqScreen.test.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 1, 5, 25
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Profile\PrivacyPolicyScreen.test.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 1, 3, 23
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Profile\ProfileScreen.test.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 3, 7, 51
