"filename", "language", "JavaScript", "JSON with Comments", "TypeScript JSX", "TypeScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\package.json", "JSON", 0, 0, 0, 0, 81, 0, 0, 1, 82
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\assets\xml\svg.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 11, 73
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\AddAndSendMoney\AmountInfo.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\AddAndSendMoney\ContinueButton.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\AddAndSendMoney\WalletImage.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\AddVehicle\ImagePickerBottomSheet.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 7, 123
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\AddVehicle\VehicleForm.js", "JavaScript", 146, 0, 0, 0, 0, 0, 0, 11, 157
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\AddVehicle\VehicleTypeSheet.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 5, 99
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\BankInfo\AccountHolderInput.js", "JavaScript", 41, 0, 0, 0, 0, 0, 1, 4, 46
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\BankInfo\AccountNumberInput.js", "JavaScript", 45, 0, 0, 0, 0, 0, 1, 4, 50
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\BankInfo\BankNameInput.js", "JavaScript", 43, 0, 0, 0, 0, 0, 1, 4, 48
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\BankInfo\BranchCodeInput.js", "JavaScript", 43, 0, 0, 0, 0, 0, 1, 4, 48
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\BankInfo\SubmitButton.js", "JavaScript", 17, 0, 0, 0, 0, 0, 1, 3, 21
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\CreditCard\ContinueButton.js", "JavaScript", 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\CreditCard\CreditCardForm.js", "JavaScript", 36, 0, 0, 0, 0, 0, 1, 4, 41
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\CreditCard\PaypalForm.js", "JavaScript", 45, 0, 0, 0, 0, 0, 1, 6, 52
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\CustomerSupport\CallAndMailButtons.js", "JavaScript", 40, 0, 0, 0, 0, 0, 1, 4, 45
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\CustomerSupport\ContactInfo.js", "JavaScript", 28, 0, 0, 0, 0, 0, 1, 4, 33
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\CustomerSupport\SubmitButton.js", "JavaScript", 17, 0, 0, 0, 0, 0, 1, 3, 21
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\CustomerSupport\SupportForm.js", "JavaScript", 89, 0, 0, 0, 0, 0, 1, 4, 94
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\EndRide\EndRideButton.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\EndRide\MapDirection.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 6, 51
